Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,VWAP,Day_Perc_Change,Trend
HDFCBANK,EQ,2018-10-24,1984.85,2004.0,2008.8,1972.6,1992,1992.25,1990.39,4518084,8992731523.0,197249,3218397,71.23,10,2018,1935.644995256964,0.003728241428823331,Slight or No change
HDFCBANK,EQ,2018-10-25,1992.25,1973.6,2003.6,1962.45,1972,1968.8,1975.89,7461764,14743593769.0,154138,5177476,69.39,10,2018,1936.002846770338,-0.011770611118082641,Slight or No change
HDFCBANK,EQ,2018-10-26,1968.8,1968.8,1977.2,1949.0,1961.2,1961.2,1962.89,3788928,7437246757.0,111281,2779751,73.37,10,2018,1936.1401897249493,-0.003860219422998745,Slight or No change
HDFCBANK,EQ,2018-10-29,1961.2,1964.1,1964.95,1895.2,1929.9,1926.3,1915.87,4261070,8163669617.0,134982,1911410,44.86,10,2018,1936.0802373187487,-0.01779522741178874,Slight or No change
HDFCBANK,EQ,2018-10-30,1926.3,1925.0,1932.0,1899.3,1912,1912.75,1917.66,3457176,6629678175.0,116901,2095481,60.61,10,2018,1935.9654791475848,-0.007034210662928864,Slight or No change
HDFCBANK,EQ,2018-10-31,1912.75,1902.05,1917.9,1885.0,1906,1911.75,1899.44,5862351,11135167118.0,175024,4061738,69.29,10,2018,1935.7651701497139,-0.0005228074761468582,Slight or No change
HDFCBANK,EQ,2018-11-01,1911.75,1930.0,1930.0,1896.0,1911.7,1912.2,1911.87,4907263,9382024998.0,156362,2847446,58.03,11,2018,1935.6031202850165,0.00023538642604936655,Slight or No change
HDFCBANK,EQ,2018-11-02,1912.2,1926.0,1960.0,1912.0,1950,1949.45,1932.67,7523217,14539874380.0,261775,5270015,70.05,11,2018,1935.7475776527717,0.01948017989750017,Slight or No change
HDFCBANK,EQ,2018-11-05,1949.45,1949.9,1959.65,1938.0,1959.6,1956.0,1949.18,1426324,2780160954.0,81177,663132,46.49,11,2018,1935.7875556667404,0.003359922029290363,Slight or No change
HDFCBANK,EQ,2018-11-06,1956.0,1955.0,1976.0,1942.95,1948.3,1946.55,1963.84,2121397,4166089812.0,83625,958206,45.17,11,2018,1935.8190611192333,-0.004831288343558282,Slight or No change
